MrotInHour,Salary,Class
11,13662,0
5,10410,0
5,17776,1
9,1346,0
8,2624,0
2,6987,1
3,14128,1
7,12722,0
2,21345,1
13,17970,0
10,17824,0
8,20202,1
5,16470,1
4,21440,1
11,2781,0
7,23701,1
2,5923,1
12,10642,0
4,4746,0
5,14141,1
14,11702,0
8,21095,1
3,463,0
9,11101,0
3,19939,1
14,3370,0
5,23142,1
10,20023,0
11,1922,0
8,19919,1
5,3435,0
14,15481,0
6,5647,0
4,5311,0
12,13736,0
3,3977,0
14,9006,0
7,7511,0
6,18253,1
11,11173,0
6,14702,1
9,6327,0
11,1599,0
7,17562,1
4,19643,1
7,21889,1
4,24496,1
9,13708,0
7,17095,1
13,860,0
12,8324,0
6,12896,0
2,22104,1
2,18673,1
10,4100,0
12,1510,0
8,15217,0
7,15309,0
10,11710,0
9,19555,0
8,7865,0
14,10087,0
14,417,0
6,14314,0
13,8129,0
3,14502,1
3,17429,1
8,9063,0
4,1947,0
9,12318,0
11,3077,0
4,4174,0
11,14816,0
9,7771,0
4,1732,0
3,7127,0
14,3820,0
7,13832,0
14,12833,0
8,24750,1
3,12275,1
6,6444,0
6,5662,0
4,6283,0
4,11063,1
14,3800,0
9,19540,0
5,24474,1
6,21031,1
8,810,0
13,1240,0
8,14415,0
13,6880,0
11,16114,0
14,12504,0
5,24078,1
4,6825,0
11,3893,0
2,6416,1
9,19576,0
2,13662,1
5,3051,0
10,17815,0
12,19534,0
7,3461,0
7,24554,1
6,8834,0
14,14834,0
13,7383,0
11,792,0
8,13636,0
6,7627,0
11,10929,0
7,22344,1
11,11722,0
5,18097,1
3,11027,1
8,17678,0
9,14373,0
14,12540,0
6,18578,1
6,5875,0
11,3358,0
12,21189,0
6,12924,0
14,7114,0
8,23460,1
6,9536,0
6,7530,0
12,16662,0
6,10130,0
8,2414,0
13,9309,0
12,10871,0
4,16870,1
4,10355,1
6,17825,1
13,9570,0
12,19905,0
6,4730,0
2,937,0
14,3784,0
14,19707,0
4,13267,1
5,21782,1
9,9915,0
6,4577,0
4,3533,0
3,14850,1
6,7974,0
4,11932,1
8,6566,0
3,7252,1
9,13436,0
2,2958,0
14,2640,0
4,6905,0
12,14810,0
14,4534,0
13,2585,0
2,12662,1
2,20064,1
5,18564,1
11,17323,0
9,11627,0
10,9885,0
14,20934,0
14,18917,0
12,5113,0
13,4279,0
6,15203,1
14,12596,0
4,2006,0
8,22579,1
8,17372,0
11,995,0
14,17739,0
5,23429,1
12,467,0
2,11054,1
5,16631,1
3,6449,0
6,1448,0
13,23010,0
6,19730,1
7,2991,0
11,12550,0
14,9502,0
8,8473,0
5,14273,1
6,16111,1
4,8062,0
7,6593,0
8,13961,0
6,3309,0
4,16144,1
14,18214,0
9,16322,0
4,6190,0
12,18278,0
8,6808,0
4,9290,0
3,4381,0
5,16216,1
13,3299,0
2,2524,0
3,14510,1
5,348,0
5,24282,1
6,22767,1
12,14960,0
2,23076,1
6,4924,0
12,20115,0
8,11016,0
13,21269,0
7,8414,0
9,24024,1
14,19826,0
5,16040,1
5,16879,1
11,1865,0
11,17747,0
12,7037,0
11,23236,0
3,886,0
2,19682,1
4,6080,0
9,14420,0
3,3883,0
6,532,0
13,16740,0
11,19619,0
14,6639,0
9,21177,0
11,8124,0
5,5605,0
3,5917,0
6,20004,1
2,11488,1
7,10457,0
7,2069,0
8,6784,0
2,455,0
9,19632,0
2,9912,1
13,22474,0
14,7809,0
8,24825,1
6,12981,0
3,14203,1
3,16697,1
9,2935,0
4,18893,1
5,20279,1
14,6292,0
6,15898,1
14,2170,0
4,3943,0
13,8055,0
6,11547,0
14,10607,0
8,21772,1
5,10537,0
9,22941,1
9,6317,0
4,23321,1
4,1251,0
5,3062,0
11,15578,0
14,14794,0
5,18380,1
2,14535,1
12,20224,0
8,24259,1
7,17347,1
9,16856,0
5,5821,0
12,2647,0
14,18723,0
2,8433,1
14,10894,0
10,15972,0
6,13055,0
8,1248,0
8,16487,0
13,4531,0
11,20684,0
5,21177,1
4,16850,1
9,9813,0
10,23101,0
7,2105,0
6,20647,1
12,9118,0
4,12991,1
8,12269,0
9,11087,0
6,24207,1
2,23709,1
4,24111,1
9,7382,0
12,6989,0
10,11909,0
14,8575,0
7,3034,0
14,6424,0
12,21152,0
2,16687,1
6,12774,0
6,7189,0
4,15522,1
4,1710,0
8,15192,0
4,16701,1
10,19002,0
9,5292,0
2,16579,1
10,9507,0
12,20288,0
2,12180,1
8,1060,0
5,23662,1
2,23254,1
3,18867,1
4,5157,0
5,7814,0
10,886,0
10,12840,0
6,432,0
12,19398,0
7,4088,0
7,5682,0
3,3596,0
8,13771,0
5,18626,1
12,24066,0
5,21391,1
14,4165,0
14,4741,0
7,12915,0
6,12708,0
7,24815,1
13,3387,0
6,6712,0
3,5932,0
8,24190,1
9,731,0
3,2641,0
4,10805,1
10,4481,0
8,6956,0
3,22933,1
2,1062,0
6,6463,0
12,17296,0
4,3787,0
3,23951,1
10,14331,0
11,4822,0
6,11193,0
4,15839,1
13,2654,0
14,3752,0
6,22901,1
9,12170,0
8,22999,1
14,8075,0
6,19730,1
6,24753,1
11,23949,0
12,8413,0
11,971,0
13,5339,0
3,2605,0
12,16992,0
7,4748,0
3,7021,0
9,1897,0
8,9629,0
11,5206,0
9,20537,0
7,18351,1
2,2899,0
5,8185,0
7,24606,1
7,19265,1
10,7593,0
10,703,0
4,16308,1
13,4041,0
8,2295,0
13,13317,0
3,14986,1
4,11679,1
2,5058,1
11,19886,0
9,17798,0
14,1673,0
12,14538,0
11,22475,0
7,6629,0
5,5148,0
5,5592,0
7,7234,0
14,13958,0
6,6452,0
3,16157,1
7,10900,0
2,12643,1
2,12332,1
13,5844,0
3,23232,1
13,16806,0
9,8290,0
13,22881,0
9,13590,0
13,2760,0
14,11531,0
9,7402,0
4,9091,0
5,10344,0
9,21888,1
7,6102,0
13,4547,0
14,20008,0
6,8626,0
6,989,0
12,947,0
12,6569,0
11,24943,0
12,6276,0
11,20126,0
3,24760,1
12,8830,0
2,1643,0
2,16308,1
14,21387,0
2,23170,1
11,9121,0
6,13114,0
7,19368,1
14,10924,0
7,24307,1
2,21023,1
2,13409,1
11,7290,0
13,19596,0
2,14092,1
2,1499,0
10,1691,0
4,7197,0
12,23527,0
4,11365,1
4,14834,1
5,16712,1
6,24943,1
6,13413,0
6,6030,0
10,18256,0
10,20011,0
4,21423,1
14,8406,0
10,19718,0
14,23347,0
14,21205,0
3,17369,1
3,1448,0
11,11257,0
11,12519,0
2,17249,1
7,4336,0
2,15314,1
12,14793,0
9,3459,0
12,12804,0
14,14413,0
10,17605,0
4,9407,0
