MrotInHour,Salary,Class
6,1746,0
10,553,0
6,16135,1
8,14665,1
14,22914,1
14,13746,0
13,9980,0
7,11908,1
5,12239,1
9,17426,1
12,24056,1
8,2596,0
12,18182,1
7,21423,1
14,8140,0
4,19809,1
3,15805,1
10,10203,0
7,10893,1
14,3900,0
7,12991,1
11,19448,1
7,23128,1
2,5527,1
5,976,0
11,8507,0
3,2313,0
11,24626,1
5,14552,1
11,7230,0
5,7223,1
7,5417,0
8,11342,0
11,6096,0
6,18513,1
3,10850,1
2,3594,1
3,18122,1
2,21010,1
3,19533,1
13,7756,0
3,3686,0
8,5994,0
12,15126,0
8,18671,1
9,20073,1
7,14187,1
12,21739,1
13,9943,0
13,12212,0
4,4969,0
6,14078,1
2,23799,1
8,17459,1
11,4171,0
6,10553,1
12,21675,1
13,22616,1
14,21058,1
6,21109,1
6,507,0
4,14532,1
13,1799,0
10,13485,0
12,3443,0
4,5885,1
9,3255,0
9,23201,1
7,452,0
9,4487,0
4,21950,1
9,501,0
14,18749,0
12,23951,1
3,20729,1
11,868,0
5,13952,1
6,9689,1
3,2026,0
6,982,0
3,22277,1
11,22235,1
13,10038,0
2,13412,1
13,14387,0
8,8499,0
5,1318,0
12,9300,0
3,24078,1
8,5667,0
2,774,0
3,5726,1
8,24857,1
12,21683,1
12,5733,0
12,7040,0
13,14065,0
7,1570,0
12,11480,0
9,14595,1
9,2828,0
13,13332,0
10,15422,1
11,21235,1
7,24456,1
8,10643,0
6,10189,1
3,23981,1
13,13486,0
6,3433,0
10,3367,0
7,5313,0
4,16435,1
7,20813,1
9,14856,1
8,21240,1
11,20187,1
10,9865,0
11,13982,0
2,13740,1
8,3798,0
10,5423,0
5,6319,0
6,19973,1
7,18475,1
5,23149,1
11,24653,1
14,8710,0
5,24188,1
2,6781,1
12,15580,0
3,8779,1
6,7256,0
12,10121,0
5,15642,1
11,8430,0
14,9599,0
12,6372,0
8,23994,1
3,21182,1
12,22770,1
12,11009,0
12,23323,1
5,24024,1
9,18340,1
8,20725,1
6,9136,1
6,24306,1
5,21605,1
13,5551,0
4,1381,0
11,18388,1
14,17683,0
12,15006,0
5,20216,1
3,1635,0
9,9964,0
2,13541,1
13,18083,0
3,17619,1
9,9716,0
12,24816,1
12,10804,0
4,17658,1
5,18546,1
4,2706,0
10,16925,1
10,2844,0
12,15858,0
6,11444,1
8,4046,0
7,10516,1
8,23769,1
6,21139,1
12,3788,0
4,11813,1
3,20527,1
7,5521,0
9,20824,1
13,24207,1
12,2301,0
2,17658,1
13,19675,1
3,22918,1
12,24208,1
5,1470,0
11,8397,0
3,21560,1
8,18667,1
3,2558,0
11,19274,1
6,6443,0
12,21224,1
14,10622,0
4,7635,1
8,665,0
4,9717,1
14,12289,0
13,22620,1
11,10589,0
10,7079,0
14,1742,0
5,3937,0
9,6855,0
8,13402,1
11,22778,1
5,5103,0
13,9680,0
13,20877,1
6,3783,0
11,562,0
7,18499,1
11,4809,0
14,11994,0
9,18637,1
11,18661,1
12,18009,1
8,5218,0
8,23396,1
2,1347,0
13,21419,1
4,15354,1
10,9406,0
4,11821,1
8,14095,1
4,16246,1
11,6015,0
11,2926,0
7,5087,0
5,8375,1
2,1022,0
3,20883,1
14,3911,0
5,13935,1
9,20344,1
10,11214,0
7,17980,1
12,19964,1
12,22715,1
5,23375,1
4,9212,1
3,14248,1
11,19137,1
9,13301,1
6,17295,1
14,22690,1
4,8556,1
14,5973,0
14,5168,0
14,16248,0
14,13874,0
8,6393,0
9,21041,1
6,11683,1
6,11315,1
6,1510,0
9,7456,0
10,20103,1
11,2274,0
6,12547,1
8,17380,1
11,5602,0
6,10089,1
10,11570,0
4,24449,1
5,2251,0
6,5079,0
5,14175,1
6,23184,1
9,20531,1
3,9690,1
6,9177,1
2,5230,1
11,22858,1
14,15651,0
4,9781,1
14,11637,0
14,21487,1
7,4283,0
3,19227,1
8,14754,1
13,14209,0
11,8019,0
11,16408,1
2,21763,1
8,21119,1
11,9773,0
12,23706,1
4,6167,1
11,22175,1
8,22750,1
8,9386,0
8,11956,1
2,5766,1
4,23204,1
12,1581,0
3,23957,1
2,22655,1
6,24298,1
10,10164,0
14,21339,1
11,16847,1
11,24761,1
13,23388,1
9,10466,0
10,12958,0
7,1523,0
8,9780,0
13,10718,0
13,8324,0
11,15060,0
5,15701,1
11,8321,0
3,10692,1
3,7466,1
12,8273,0
7,17616,1
13,5148,0
13,16106,0
13,15509,0
8,12130,1
6,5064,0
14,10037,0
14,16778,0
9,12491,0
4,16212,1
11,14203,0
2,23769,1
3,10427,1
9,440,0
10,24820,1
7,20959,1
3,5915,1
9,1534,0
12,11276,0
14,15843,0
9,4898,0
2,4467,1
12,6033,0
4,380,0
11,19056,1
13,20394,1
6,9675,1
11,13940,0
10,16557,1
14,3714,0
8,857,0
4,17199,1
13,14221,0
7,633,0
11,23465,1
6,21436,1
9,18926,1
13,21127,1
